"Depto","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","provincia"
"Bella Vista",38141,38494,38848,39201,39555,39905,40252,40597,40938,41271,41599,41918,42229,42532,42827,"43110","18"
"Berón de Astrada",2523,2553,2583,2613,2643,2673,2702,2732,2761,2789,2817,2844,2870,2896,2921,"2945","18"
"Capital",367002,371478,375966,380449,384925,389369,393790,398163,402483,406728,410878,414927,418880,422722,426443,"430053","18"
"Concepción",21587,22019,22452,22884,23315,23745,24171,24592,25010,25419,25819,26209,26590,26961,27321,"27669","18"
"Curuzú Cuatiá",45515,45959,46404,46848,47291,47732,48169,48603,49031,49452,49862,50264,50656,51036,51406,"51763","18"
"Empedrado",15515,15610,15703,15798,15892,15986,16078,16171,16261,16351,16437,16523,16606,16686,16765,"16841","18"
"Esquina",31644,31788,31933,32078,32223,32366,32508,32649,32788,32925,33059,33191,33318,33441,33563,"33678","18"
"General Alvear",8158,8156,8152,8149,8146,8143,8139,8137,8134,8131,8128,8127,8124,8122,8121,"8119","18"
"General Paz",15251,15299,15349,15398,15446,15495,15544,15592,15638,15685,15730,15774,15817,15860,15901,"15940","18"
"Goya",92346,92945,93545,94145,94743,95338,95928,96513,97091,97658,98213,98754,99283,99797,100296,"100778","18"
"Itatí",9409,9491,9573,9654,9735,9817,9897,9977,10055,10132,10208,10282,10353,10424,10491,"10557","18"
"Ituzaingó",32001,32170,32339,32510,32679,32847,33014,33180,33344,33505,33661,33815,33964,34110,34251,"34388","18"
"Lavalle",29458,29881,30306,30730,31153,31574,31992,32407,32815,33216,33609,33993,34366,34731,35083,"35424","18"
"Mburucuyá",9501,9559,9617,9675,9734,9791,9849,9906,9962,10017,10071,10124,10176,10226,10274,"10321","18"
"Mercedes",41741,42051,42361,42670,42980,43287,43592,43895,44193,44486,44773,45052,45326,45591,45849,"46098","18"
"Monte Caseros",37236,37706,38179,38651,39122,39590,40054,40515,40970,41417,41854,42279,42696,43100,43492,"43871","18"
"Paso de los Libres",49910,50322,50735,51149,51561,51971,52377,52780,53179,53570,53952,54326,54690,55044,55387,"55720","18"
"Saladas",22831,22998,23165,23333,23498,23664,23829,23991,24152,24310,24464,24615,24762,24905,25044,"25179","18"
"San Cosme",14732,14936,15140,15346,15551,15753,15955,16156,16352,16546,16736,16921,17102,17278,17447,"17613","18"
"San Luis del Palmar",18033,18227,18420,18614,18806,18999,19188,19377,19563,19746,19925,20100,20270,20435,20596,"20752","18"
"San Martín",13467,13629,13790,13952,14114,14275,14433,14592,14747,14901,15051,15197,15340,15478,15613,"15742","18"
"San Miguel",10856,10926,10996,11066,11136,11205,11274,11343,11410,11475,11540,11604,11665,11725,11783,"11840","18"
"San Roque",18863,18968,19072,19178,19282,19386,19489,19591,19692,19791,19888,19983,20075,20165,20252,"20336","18"
"Santo Tomé",62721,63784,64850,65915,66978,68035,69084,70123,71150,72157,73143,74106,75045,75957,76843,"77699","18"
"Sauce",9290,9299,9308,9319,9328,9337,9347,9356,9365,9374,9384,9392,9401,9409,9417,"9424","18"
"Almirante Brown",34758,35574,36392,37211,38029,38844,39654,40457,41254,42039,42810,43567,44310,45038,45749,"46444","22"
"Bermejo",25673,25865,26060,26254,26447,26641,26833,27024,27212,27398,27581,27761,27937,28110,28278,"28443","22"
"Chacabuco",31272,31757,32244,32732,33220,33704,34186,34666,35140,35607,36066,36517,36960,37393,37816,"38231","22"
"Comandante Fernández",99094,100644,102201,103761,105318,106868,108409,109942,111457,112951,114419,115861,117275,118660,120015,"121338","22"
"12 de Octubre",22779,23137,23495,23854,24214,24570,24925,25278,25626,25970,26309,26640,26966,27285,27597,"27901","22"
"2 de Abril",7670,7688,7709,7732,7754,7777,7799,7822,7844,7866,7888,7909,7931,7952,7972,"7993","22"
"Fray Justo Santa María de Oro",12079,12310,12542,12773,13005,13236,13466,13694,13920,14142,14361,14575,14786,14992,15193,"15391","22"
"General Belgrano",12238,12491,12746,13000,13255,13509,13759,14011,14257,14502,14741,14977,15208,15435,15656,"15872","22"
"General Donovan",13842,13890,13937,13985,14033,14081,14128,14174,14221,14266,14311,14355,14398,14440,14481,"14522","22"
"General Güemes",68691,69580,70472,71364,72256,73143,74025,74902,75769,76624,77464,78289,79099,79891,80666,"81424","22"
"Independencia",22926,23238,23553,23867,24181,24493,24804,25113,25418,25719,26014,26305,26589,26868,27141,"27408","22"
"Libertad",12419,12648,12878,13109,13340,13569,13796,14023,14247,14469,14685,14898,15107,15312,15513,"15709","22"
"Libertador General San Martín",60499,61340,62185,63029,63874,64714,65549,66379,67199,68009,68805,69585,70352,71102,71836,"72552","22"
